AA,73.4
AKs,50.7
AKo,48.2
AQs,49.4
AQo,46.8
AJs,48.2
AJo,45.6
ATs,47.1
ATo,44.4
A9s,44.8
A9o,41.8
A8s,43.7
A8o,40.8
A7s,42.6
A7o,39.4
A6s,41.3
A6o,38.0
A5s,41.4
A5o,38.2
A4s,40.4
A4o,36.9
A3s,39.4
A3o,35.9
A2s,38.5
A2o,35.0
KK,68.9
KQs,47.1
KQo,44.4
KJs,45.9
KJo,43.1
KTs,44.9
KTo,42.0
K9s,42.4
K9o,39.5
K8s,40.2
K8o,37.2
K7s,39.4
K7o,36.1
K6s,38.4
K6o,35.0
K5s,37.4
K5o,34.0
K4s,36.4
K4o,32.8
K3s,35.5
K3o,31.9
K2s,34.6
K2o,30.9
QQ,64.9
QJs,44.1
QJo,41.4
QTs,43.1
QTo,40.2
Q9s,40.7
Q9o,37.6
Q8s,38.6
Q8o,35.4
Q7s,36.7
Q7o,33.2
Q6s,35.8
Q6o,32.3
Q5s,34.9
Q5o,31.3
Q4s,33.9
Q4o,30.2
Q3s,33.0
Q3o,29.2
Q2s,32.2
Q2o,28.4
JJ,61.2
JTs,41.9
JTo,39.0
J9s,39.6
J9o,36.5
J8s,37.5
J8o,34.2
J7s,35.4
J7o,32.1
J6s,33.6
J6o,29.8
J5s,32.8
J5o,29.1
J4s,31.8
J4o,28.1
J3s,30.9
J3o,27.1
J2s,30.1
J2o,26.2
TT,57.7
T9s,38.9
T9o,35.7
T8s,36.9
T8o,33.6
T7s,34.9
T7o,31.4
T6s,32.8
T6o,29.2
T5s,30.8
T5o,27.1
T4s,30.1
T4o,26.4
T3s,29.3
T3o,25.5
T2s,28.5
T2o,24.7
99,53.5
98s,36.0
98o,32.9
97s,34.2
97o,30.9
96s,32.3
96o,28.8
95s,30.4
95o,26.7
94s,28.4
94o,24.6
93s,27.8
93o,23.9
92s,27.0
92o,22.9
88,49.9
87s,33.9
87o,30.6
86s,32.0
86o,28.6
85s,30.2
85o,26.5
84s,28.1
84o,24.4
83s,26.3
83o,22.4
82s,25.8
82o,21.7
77,46.4
76s,32.0
76o,28.5
75s,30.1
75o,26.5
74s,28.2
74o,24.5
73s,26.3
73o,22.4
72s,24.5
72o,20.4
66,43.2
65s,30.2
65o,26.7
64s,28.5
64o,24.7
63s,26.5
63o,22.7
62s,24.8
62o,20.7
55,40.1
54s,28.8
54o,25.2
53s,27.1
53o,23.3
52s,25.3
52o,21.3
44,36.8
43s,26.2
43o,22.3
42s,24.6
42o,20.5
33,33.5
32s,23.6
32o,19.5
22,30.7
